Module 2 – School Subjects
Les matières scolaires	School subjects
le français	French
le théâtre	drama
la géographie/la géo	geography
la musique	music
la technologie	technology
l’anglais (m)	English
l’EPS (f)	PE
l’histoire (f)	history
l’informatique (f) 	ICT
les arts plastiques (m)	art
les mathématiques/maths (f)	maths
les sciences (f)	science
	
Les opinions	Opinions
Tu aimes/Est-ce que tu aimes … ?	Do you like … .?
J’aime …	I like …
J’aime beaucoup … 	I like … a lot.
J’aime assez …	I quite like …
J’adore …	I love …
Je n’aime pas …	I don’t like …
Je déteste …	I hate …
C’est ma matière préférée.	It’s my favourite subject.
Moi aussi.	Me too.
T’es fou/folle.	You’re crazy.
	
Les raisons	Reasons
C’est … 	It’s …
intéressant	interesting
ennuyeux	boring
facile	easy
difficile	difficult
génial	great
nul	rubbish
marrant	fun/funny
On a beaucoup de devoirs.	We have lots of homework.
Le/La prof est sympa.	The teacher is nice.
Le/La prof est trop sévère.	The teacher is too strict.
	
Quelle heure est-il?	What time is it?
Il est …	It’s …
huit heures	eight o’clock
huit heures dix	ten past eight
huit heures et quart	quarter past eight
huit heures et demie	half past eight
neuf heures moins vingt	twenty to nine
neuf heures moins le quart	quarter to nine
midi	midday
minuit	midnight
midi/minuit et demi	half past twelve (midday/midnight)
	
L’emploi du temps	The timetable
le lundi	on Mondays
le mardi	on Tuesdays
le mercredi	on Wednesdays
le jeudi	on Thursdays
le vendredi	on Fridays
À (neuf heures) j’ai (sciences).	At (nine o’clock) I’ve got (science)
le matin	(in) the morning
l’après-midi	(in) the afternoon
le mercredi après-midi	on Wednesday afternoon
la récréation/la récré	breaktime
le déjeuner	lunch
	
La journée scolaire	The school day
On a cours (le lundi).	We have lessons (on Mondays).
On n’a pas cours …	We don’t have lessons …
On commence les cours à …	We start lessons at …
On a quatre cours le matin.	We have four lessons in the morning
On étudie neuf matières.	We study nine subjects.
À la récré, on bavarde et on rigole.	At break, we chat and have a laugh 
On mange à la cantine.	We eat in the canteen.
On finit les cours à …	We finish lessons at …
On est fatigués.	We are tired.
	
Qu’est-ce que tu manges?	What do you eat?/What are you eating?
Je mange … 	I eat/I’m eating …
du fromage	cheese
du poisson	fish
du poulet	chicken
du steak haché	beefburger
du yaourt	yoghurt
de la pizza	pizza
de la purée de pommes de terre	mashed potatoes
de la glace à la fraise	strawberry ice-cream
de la mousse au chocolat	chocolate mousse
de la tarte au citron	lemon tart
des crudités	chopped, raw vegetables
des frites	chips
des haricots verts	green beans
Bon appétit!	Enjoy your meal!
	
Les mots essentiels	High-frequency words
à	at
et	and
aussi	also
mais	but
très	very
trop	too
assez	quite
un peu	a bit
pourquoi?	why?
parce que	because
beaucoup (de)	a lot (of)
tous les jours	every day
aujourd’hui	today
pardon	excuse me
merci	thank you
est-ce que (tu) … ?	do (you) … .?
qu’est-ce que (tu) … ?	what (do you) … ?
avec	with
