Module 4 – My Town

Là où j’habite	Where I live
Qu’est-ce qu’il y a … ?	What is there … ?
Il y a … 	There is …
un café	a café
un centre commercial	a shopping centre
un centre de loisirs	a leisure centre
un château	a castle
un cinéma	a cinema
une église	a church
un hôtel	a hotel
un marché	a market
un parc	a park
un restaurant	a restaurant
un stade	a stadium
une patinoire	an ice rink
une piscine	a swimming pool
des magasins	shops
des musées	museums
Il n’y a pas de … 	There isn’t a … /There are no … 
	
Les opinions	Opinions
Tu aimes ta ville/ton village?	Do you like your town/village?
Je pense que … 	I think that …
À mon avis, … 	In my view …
C’est … 	It’s …
bien	good
super	great
joli	pretty
intéressant	interesting
ennuyeux	boring
vraiment nul	really rubbish
trop petit	too small
J’aime ça.	I like that.
J’adore ça.	I love that.
Tu es d’accord?	Do you agree?
Oui, je suis d’accord.	Yes, I agree.
Non, je ne suis pas d’accord.	No, I disagree.
	
Les directions	Directions
Pardon … 	Excuse me …
Où est … ?	Where is … ?
Où sont … ?	Where are … ?
C’est …	It’s …
à gauche	left
à droite	right
tout droit	straight on
au carrefour	at the crossroads
entre	between
derrière	behind
devant	in front of
	
 
Les attractions	Attractions
le bateau pirate	the pirate ship
le manège	the merry-go-round
le Cheval de Troie	the Trojan horse
le petit train	the little train
le toboggan géant	the giant slide
le trampoline magique	the magic trampoline
la grotte mystérieuse	the mysterious grotto
la rivière enchantée	the enchanted river
la soucoupe volante	the flying saucer
l’hôtel	the hotel
les autos tamponneuses	the dodgems
les chaises volantes	the flying chairs
	
Les adverbes de fréquence	Expressions of frequency
d’habitude	usually
normalement 	normally
quelquefois	sometimes
tous les weekends	every weekend
	
Coucou!	Hi there!
je veux	I want
tu veux	you want (singular, informal)
il/elle veut	he/she wants
on veut	we want
nous voulons	we want
vous voulez	you want (plural, formal)
ils/elles veulent	they want
Bonne idée!	Good idea!
Super!	Fabulous!
Génial	Great!
D’accord.	OK.
Oui, c’est super top.	Yes, that’s great.
Oui, je veux bien.	Yes, I want to.
Non, je n’ai pas envie.	No, I don’t want to.
Si tu veux.	If you want to.
Non merci.	No, thanks.
	
Qu’est-ce qu’on peut faire à … ?	What can you do at/in … ?
je peux	I can
tu peux	you can (singular, informal)
il/elle/on peut	he/she can/we can
nous pouvons	we can
vous pouvez	you can (plural, formal)
ils/elles peuvent	they can
aller au concert	go to a concert
faire du bowling	go bowling
faire du roller	go roller-skating
faire du skate	go skateboarding
faire du vélo	go cycling
faire une promenade en barque	go on a boat trip
jouer au babyfoot et au flipper au café	play table football and pinball at the café
manger au restaurant	eat at a restaurant
visiter les jardins/les monuments/les musées	visit gardens/monuments/museums
