Module 2 – Paris
À Paris	In Paris
J’ai gagné un concours.	I won a competition.
J’ai passé une semaine à Paris.	I spent a week in Paris.
J’ai visité la tour Eiffel.	I visited the Eiffel Tower.
J’ai mangé au restaurant.	I ate in a restaurant.
J’ai admiré la Pyramide du Louvre.	I admired the Louvre Pyramid.
J’ai regardé le feu d’artifice.	I watched the fireworks.
J’ai acheté des souvenirs.	I bought some souvenirs.
J’ai rencontré un beau garçon/une jolie fille.	I met a good-looking boy/a pretty girl
J’ai envoyé des cartes postales.	I sent some postcards.
J’ai pris des photos.	I took some photos.
J’ai vu la Joconde.	I saw the Mona Lisa.
J’ai attendu le bus.	I waited for the bus.
J’ai très bien dormi.	I slept very well.
Je n’ai pas visité Notre-Dame.	I didn’t visit Notre-Dame.
On a fait les magasins.	We went shopping.
On a bu un coca.	We drank a cola.
On a fait un tour de la ville en segway.	We did a tour of the town by segway.
On a fait une balade en bateau-mouche.	We went on a boat trip.
	
Quand?	When?
aujourd’hui	today
hier	yesterday
avant-hier	the day before yesterday
(mardi) dernier	last (Tuesday)
	
C’était comment?	What was it like?
C’était ...	It was ...
J’ai trouvé ça ...	I found it ...
bien	good
bizarre	weird
cool	cool
cher	expensive
effrayant	scary
ennuyeux	boring
fabuleux	wonderful/fantastic
génial	great
horrible	horrible/terrible
intéressant	interesting
marrant	funny/a laugh
nul	rubbish
Ce n’était pas mal.	It wasn’t bad.
	
Des informations touristiques	Tourist information
horaires d’ouverture	opening times
ouvert du (mardi) au (dimanche)	open from (Tuesday) to (Sunday)
de 10h00 à 17h00 	from 10 a.m. to 5 p.m.
fermé (le lundi et les jours fériés)	closed (on Mondays and bankholidays)
tarifs d’entrée	admission prices
plein tarif	full price
tarif jeune 	price for young people
gratuit (pour les enfants jusqu’à 13 ans)	free (for children up to 13 years old)
visites guidées	guided tours
(pas de) toilettes	(no) toilets
	
Tu as voyagé comment?	How did you travel?
en avion	by plane
en bus	by bus
en car	by coach
en métro	by underground
en train	by train
en voiture	by car
à vélo	by bicycle
à pied	on foot
	
Un voyage	A journey
Je suis allé(e) (à Paris).	I went (to Paris).
Je suis parti(e)/arrivé(e) à (dix heures).	I left/arrived at (ten o’clock).
Le train est parti/arrivé à (huit heures).	The train left/arrived at (eight o'clock)
Je suis sorti(e).	I went out.
Je suis resté(e) (chez moi).	I stayed (at home).
Je suis rentré(e) (chez moi).	I went/got home.
Je suis monté(e).	I went up.
	
Qui a volé la Joconde?	Who stole the Mona Lisa?
Tu as visité le Louvre quand?	When did you visit the Louvre?
Tu es allé(e) avec qui?	Who did you go with?
Tu es allé(e) comment?	How did you get there?
Tu es arrivé(e)/parti(e) à quelle heure?	At what time did you arrive/leave?
Après, tu es allé(e) où?	Afterwards, where did you go?
Tu es resté(e) combien de temps?	How long did you stay?
Qu’est-ce que tu as fait?	What did you do?
Est-ce que tu as volé la Joconde?	Did you steal the Mona Lisa?
	
Les mots essentiels	High-frequency words
à quelle heure?	at what time?
quand?	when?
combien?	how much/how many?
combien de temps?	how long?
comment?	how?
où?	where?
qui?	who?
avec qui?	who with?
alors 	so, therefore
donc	so, therefore
car 	because
parce que	because
dernier/dernière	last
beaucoup (de)	a lot (of)
d’abord	first of all
ensuite	next
après	afterwards
finalement	finally
