Module 3 – All About Me
Mon caractère	My character
Je suis 	I am
Je pense que je suis 	I think I’m 
Je ne suis pas 	I’m not 
Je ne suis pas du tout 	I’m not at all 
Mon meilleur ami/Ma meilleure amie est	My best friend is 
adorable	adorable
arrogant(e)	arrogant
amusant(e)	funny
casse-pieds	annoying
curieux/curieuse	curious
débrouillard(e)	resourceful
drôle	funny
égoïste	selfish
gentil(le)	nice
intelligent(e)	intelligent
optimiste	optimistic
paresseux/paresseuse	lazy
patient(e)	patient
pénible	annoying
pessimiste	pessimistic
rigolo(te)	funny
sociable	sociable
sympa	nice
	
Les rapports	Relationships
s’amuser	to have fun
se chamailler	to squabble
se confier des secrets	to tell each other secrets
se dire	to tell each other
se disputer	to argue
s’entendre	to get on
se fâcher	to get angry
	
Les opinions	Opinions
Mon chanteur/ma chanteuse	My favourite singer is …
   préféré(e), c’est …	
Mon groupe préféré, c’est …	My favourite group is …
J’adore/Je déteste la musique de X.	I love/I hate X’s music.
J’adore la chanson …	I love the song …
Ça me donne envie de …	It makes me want to …
danser/chanter/pleurer/dormir	dance/sing/cry/sleep
Ça me rend joyeux/joyeuse/triste.	It makes me happy/sad.
	
La musique	Music
le hard rock	hard rock
le jazz	jazz
la musique classique	classical music
le pop-rock	pop
le rap	rap
le R’n’B	R’n’B
un peu de tout	a bit of everything
les chorégraphies	choreography
les mélodies	tunes
les paroles	words
	
Les vêtements	Clothes
Normalement, je porte …	Normally, I wear …
des baskets	trainers
des bottes	boots
des chaussures	shoes
une chemise	a shirt
un chapeau	a hat
un jean	jeans
une jupe	a skirt
un pantalon	trousers
un pull	a jumper
un sweat à capuche	a hoodie
un tee-shirt	a T-shirt
une veste	a jacket
	
Les couleurs	Colours
beige	beige
blanc(he)	white
bleu turquoise	turquoise
gris(e)	grey
marron chocolat	chocolate brown
noir(e)	black
orange	orange
vert kaki	khaki
	
Le style	Style
J’ai un style plutôt …	My style is rather …
classique	classic
décontracté	relaxed
skateur 	skater
sportif	sporty
C’est …	It’s …
moche	ugly
horrible	horrible
cool	cool
chic	chic
	
Au futur	In the future
Qu’est-ce que tu vas faire/porter?	What are you going to do/wear?
ce weekend	this weekend
cet été	this summer
	
Les interjections	Interjections
alors	so
voyons	let’s see
	
Les mots essentiels	High-frequency words
avec	with
bien 	well
comme d’hab	as usual
en général	in general
en plus	in addition
ensemble	together
même	same
normalement	normally
ou	or
par moments	at times
partout	everywhere
plutôt	rather
quand	when
sinon 	otherwise
surtout	especially
souvent	often
tout(e)	all, every
tout le temps	all the time
vraiment	really
