Module 5 – Talents
Le concours de talents	The talent contest
Mon/Notre talent, c’est …	My/Our talent is …
chanter	singing
danser	dancing
être pom-pom girl	being a cheerleader
faire de la magie	doing magic
jouer du piano/violon	playing the piano/violin
jouer de la guitare (électrique)	playing the (electric) guitar
Je veux être …	I want to be …
chanteur/chanteuse 	a singer
danseur/danseuse	a dancer
guitariste	a guitar player
musicien/musicienne	a musician
magicien/magicienne	a magician
Je veux gagner le concours.	I want to win the contest.
J’ai déjà gagné un concours.	I’ve already won a contest.
un candidat/une candidate	a contestant
célèbre	famous
une célébrité 	a celebrity
une vedette	a (TV/film/music) star
participer (au concours)	to take part (in the contest)
	
Se préparer pour le concours	Getting ready for the contest
Je/Tu dois …	I/You must …
remplir la fiche d’inscription	fill in the application form
participer au concours	take part in the contest
faire un clip vidéo	make a video clip
répéter tous les jours	rehearse every day
aller à l’audition	go to the audition
avoir confiance en moi/toi	be confident
Je/Tu peux …/On peut …	I/You can …/We can …
répéter chez moi/toi	rehearse at my/your place
faire du babysitting	babysit
Je ne peux pas.	I can’t.
Si, tu peux! 	Yes, you can!
Je vais t’aider.	I’ll help you.
Je dois faire mes devoirs./J’ai trop de devoirs.	I must do my homework./I’ve got too much homework
Je n’ai pas de caméra.	I don’t have a camcorder.
	
Donner des instructions et conseils	Giving instructions and advice
Chante plus fort!	Sing louder!
Enlève ton blouson!	Take off your jacket!
Éteins ton portable!	Switch off your mobile phone!
Fais plus d’efforts!	Make more of an effort!
Jette ton chewing-gum! 	Throw away your chewing gum!
Regarde la caméra!	Look at the camera!
Souris!	Smile!
Réveille-toi!	Wake up!
Ne fais pas ça!	Don’t do that!
N’oublie pas ta casquette!	Don’t forget your cap!
Change ton attitude!	Change your attitude!
	
Qui est le meilleur?	Who’s the best?
Je pense que/qu’ …	I think that …
Il/Elle est …	He/She is …
le/la plus ...	the most …
le/la moins …	the least …
ambitieux/ambitieuse	ambitious
arrogant(e)	arrogant
beau/belle	good-looking
modeste	modest
passionné(e)	passionate
professionnel(le)	professional
sûr de lui/sûre d’elle	confident
travailleur/travailleuse	hard-working
le meilleur/la meilleure	the best
Il/Elle a …	He/She has …
le plus de talent	the most talent
la plus belle voix	the nicest voice
Il/Elle a chanté faux/juste.	He/She sang off key/in tune.
	
Les rêves et les ambitions	Dreams and ambitions
J’aime gagner.	I like winning.
Je dois gagner.	I must win.
Je peux gagner.	I can win.
Je veux gagner.	I want to win.
Je voudrais gagner.	I’d like to win.
Je vais gagner.	I’m going to win.
le gagnant/la gagnante	the winner
un jour	one day
content(e)	happy
	
Les mots essentiels	High-frequency words
déjà	already
si	if 
si	yes (when contradicting someone)
Tu as raison.	You’re right.
Tu as tort.	You’re wrong.
D’accord?	OK?
plus	more
moins	less
À mon avis, …	In my opinion, …
Pour moi, …	For me, …
